author_id,username,fullname,biography,verified,joined_datetime,tweets_count,following_count,followers_count,likes_count,profile_picture_url,banner_picture_url
183635768,Nachete82,Ignacio Gónzalez,,True,2010-08-27 14:12:00,65,39,14,3,https://pbs.twimg.com/profile_images/624835103269724160/APhc0lM-.jpg,https://pbs.twimg.com/profile_banners/183635768/1437807272/1500x500
1756996560318009088,borjitaescalona,Kikemarquez.nosascendio 🚜 🚜,Kike Marquez 1º de Córdoba,True,2024-02-12 11:00:00,578,124,56,4530,https://pbs.twimg.com/profile_images/1867190755392897025/PQYaTyP0.jpg,https://pbs.twimg.com/profile_banners/1756996560318009344/1734008834/1500x500
1361302911725301760,promesasdelfut3,footballpasion,Barça futbol y masia así de simple. tengo un blog donde hablo de jóvenes futbolistas y en mis ratos de locura hago nightcore. soy un libro de muchas paginas,True,2021-02-15 13:14:00,8452,94,24,9009,https://pbs.twimg.com/profile_images/1849914643289907202/JF-61lQ3.jpg,https://pbs.twimg.com/profile_banners/1361302911725301770/1615161503/1500x500
nan,Coco24040996984,Coco,,True,2023-04-11 16:58:00,3015,193,13,2612,https://pbs.twimg.com/profile_images/1645834343208583187/0er5L936.jpg,
505144192,RaulPoMo,Raul P.,Yo.,True,2012-02-26 23:49:00,9072,425,73,11659,https://pbs.twimg.com/profile_images/1205438596028784640/BvxGcH-M.jpg,https://pbs.twimg.com/profile_banners/505144192/1548111031/1500x500
610992469,RafaVeljim,Rafa Velasco,🚀 StriveForGreatness 🚀,True,2012-06-17 17:41:00,15730,341,345,4869,https://pbs.twimg.com/profile_images/1551919243020599296/vj8c1511.jpg,https://pbs.twimg.com/profile_banners/610992469/1609027436/1500x500
775761626486206464,hmntragabuche,El hermano de tragabuche,,True,2016-09-13 18:22:00,2900,434,294,3419,https://pbs.twimg.com/profile_images/1363822370159476737/CeC71-4A.jpg,https://pbs.twimg.com/profile_banners/775761626486206464/1619341394/1500x500
2259783526,JmLlams,Llamarada,"Muy noble, muy leal, muy heroica, invicta y mariana.",True,2014-01-03 10:12:00,10453,587,213,12115,https://pbs.twimg.com/profile_images/1850848603238961152/8Np_Oxcf.jpg,https://pbs.twimg.com/profile_banners/2259783526/1702026978/1500x500
3359252997,miguelii_21,Migueli,,True,2015-07-04 20:42:00,1106,241,343,3732,https://pbs.twimg.com/profile_images/1332399007709212672/kDDhVzmp.jpg,https://pbs.twimg.com/profile_banners/3359252997/1632698767/1500x500
1603268409386573824,trioles2019,Rhaegar Targaryen,+ Madridista que Bernabéu. Hala Madrid!!!,True,2022-12-15 05:59:00,2388,346,39,1436,https://pbs.twimg.com/profile_images/1603268840724520960/9EpfuAWh.jpg,https://pbs.twimg.com/profile_banners/1603268409386573832/1718116811/1500x500
77691076,juaferfe,Pauet,#CivFanatic,True,2009-09-27 08:06:00,13630,2846,821,191217,https://pbs.twimg.com/profile_images/1740508099620859905/bj_p8zKh.jpg,https://pbs.twimg.com/profile_banners/77691076/1703804644/1500x500
391591759,nestorbg3,Nestor barreto González,‏,True,2011-10-15 20:23:00,562675,5475,4095,633710,https://pbs.twimg.com/profile_images/1812906725629919232/WnD1OfmP.jpg,https://pbs.twimg.com/profile_banners/391591759/1721065643/1500x500
3394129415,ClavedeCon,ClavedeCon,Las personas que intentan destruir los sueños de los demás son las que no pudieron conseguir los suyos.,True,2015-07-29 16:53:00,2558,427,91,5272,https://pbs.twimg.com/profile_images/1731815038950748160/JbjdGDeP.jpg,https://pbs.twimg.com/profile_banners/3394129415/1701731867/1500x500
1257784835822804992,Argifontes19661,Mjölnir🪓🇮🇸,"Estoy aquí para ayudar a VOX a dar la batalla cultural y a desenmascarar a la DERECHITA COBARDE, ESTAFADORA Y ACOMPPLEJADA ☠️PPSOE☠️ VIVA ISRAEL Y VIVA UCRANIA",True,2020-05-05 21:31:00,95095,4991,4400,116729,https://pbs.twimg.com/profile_images/1708875032137433088/IiymD8uo.jpg,https://pbs.twimg.com/profile_banners/1257784835822804994/1721217066/1500x500
4726596569,javibosko,Javi,,True,2016-01-06 17:20:00,8850,694,170,15131,https://pbs.twimg.com/profile_images/1843205440131239936/IeZKCuo5.jpg,https://pbs.twimg.com/profile_banners/4726596569/1515707305/1500x500
464093517,luisjuangimenez,MEL DE ROMER CHE,pasión y locura valencianista defensor de los símbolos del REINO DE VALENCIA BANDERA PATRIA Y LENGUA SIEMPRE LLORO CON EL HIMNO REGIONAL VIXCA LA MARE DE DEU,True,2012-01-14 20:51:00,51474,1089,735,58691,https://pbs.twimg.com/profile_images/642081834009030656/vI-NKtvX.jpg,https://pbs.twimg.com/profile_banners/464093517/1413545144/1500x500
586068725,sanfonfa,elenalubn,"El cine, los libros, el humor ácido y mordaz, los amigos de veras, reír en estos tiempos,  mi hijo jugando a fútbol, mi familia. Antifascista siempre.",True,2012-05-20 23:16:00,50088,353,121,48167,https://pbs.twimg.com/profile_images/1761063829029404672/Yfk-MY1O.jpg,https://pbs.twimg.com/profile_banners/586068725/1619861922/1500x500
1606971145978249216,CarlosH26892231,Tutankabrón,"Muy mal mandado y contestón, nunca pido permiso, y siempre me meto donde no me llaman. El planeta y los rojos me la sudan.",True,2022-12-25 11:14:00,10394,664,463,18488,https://pbs.twimg.com/profile_images/1774748247090708480/NsIUXSS0.jpg,https://pbs.twimg.com/profile_banners/1606971145978249216/1682592675/1500x500
nan,SANTItop55,Top,Logica pura,True,2018-05-16 21:59:00,59599,45,39,1993,https://pbs.twimg.com/profile_images/1704935138784694272/LsLlQJ_E.jpg,
